! Python will automatically cnsider '#' as a 'comment' line.
! But what about '!'?
0.00	0.20000
0.10	0.30673
0.20	0.30619
0.30	0.36664
0.40	0.58663
0.50	0.89820
0.60	1.12407
0.70	1.13623
0.80	0.97047
0.90	0.79162
1.00	0.74148
1.10	0.80938
1.20	0.84423
1.30	0.69699
1.40	0.36234
1.50	-0.01082
1.60	-0.24991
1.70	-0.31057
1.80	-0.31046
1.90	-0.41412
2.00	-0.67519
2.10	-0.98112
2.20	-1.15159
2.30	-1.10026
2.40	-0.91133
2.50	-0.76068
2.60	-0.75407
2.70	-0.83119
2.80	-0.82379
2.90	-0.61421
3.00	-0.24857
3.10	0.09986
3.20	0.28339
3.30	0.30889
3.40	0.32440
3.50	0.47625
3.60	0.76808
3.70	1.05179
3.80	1.15893
3.90	1.05187
4.00	0.85597
4.10	0.74326
4.20	0.77460
4.30	0.84542
4.40	0.78489
4.50	0.51718
4.60	0.13645
4.70	-0.17369
4.80	-0.30236
4.90	-0.30636
5.00	-0.35103
5.10	-0.55144
5.20	-0.86042
5.30	-1.10643
5.40	-1.14680
5.50	-0.99556
5.60	-0.80853
5.70	-0.73936
5.80	-0.79899
5.90	-0.84774
6.00	-0.72706
6.10	-0.40985
6.20	-0.03090
6.30	0.23080
